id,internship_name,company,stipend,posted,portal,applied_date,call_back

2219049,Data Science (Mentor And Development),DevTown,"₹ 60,000 /month",unknown,internshala,2023-07-06,

2220189,Machine Learning,Digipplus,"₹ 25,000-30,000 /month",unknown,internshala,2023-07-06,

2217977,Machine Learning,Buddha Education Association Incorporation,"₹ 21,000 /month",unknown,internshala,2023-07-06,

2218869,Mobile App Development,CITS Worldwide,"₹ 20,000 /month",unknown,internshala,2023-07-06,

2214402,Java Development,Alemeno,"₹ 20,000 /month",unknown,internshala,2023-07-06,

2210813,Analytics Programming & Development,Vislesha Private Limited,"₹ 20,000 /month",unknown,internshala,2023-07-06,

2219601,Data Analytics,GRS Infotech,"₹ 20,000 /month",unknown,internshala,2023-07-06,

2213460,Backend Development,Alemeno,"₹ 20,000 /month",unknown,internshala,2023-07-06,

2215906,Software Testing,IESoft Technologies Private Limited,"₹ 15,000 /month",unknown,internshala,2023-07-06,

2217842,Machine Learning,Shubh International,"₹ 14,000-16,000 /month",unknown,internshala,2023-07-06,

2216135,Backend & ML Development,COSGrid Systems Private Limited,"₹ 18,000-25,000 /month",unknown,internshala,2023-07-08,
2208163,SQL Programming,StudyMonk,"₹ 10,000-15,000 /month",unknown,internshala,2023-07-08,
2223481,Reporting Analysis,Arcatron Mobility Private Limited,"₹ 10,000 /month",2 days ago,internshala,2023-07-08,
2217091,Computer Vision,ArchOver Solutions Private Limited,"₹ 5,000-20,000 /month",unknown,internshala,2023-07-08,
2215964,Django Development,Sumanel Technology Ventures Private Limited,"₹ 10,000-15,000 /month",unknown,internshala,2023-07-09,
2227624,Web Development,Blank Labs Private Limited,"₹ 15,000 /month",1 day ago,internshala,2023-07-09,
2224050,Backend Development,Contour Education,"₹ 12,000 /month",unknown,internshala,2023-07-09,
2217962,Artificial Intelligence (AI),Buddha Education Association Incorporation,"₹ 12,000 /month",unknown,internshala,2023-07-09,
2217971,Mobile App Development,Buddha Education Association Incorporation,"₹ 12,000 /month",unknown,internshala,2023-07-09,
2219321,Backend Development,Tech Maadhyam,"₹ 10,000-15,000 /month",unknown,internshala,2023-07-09,
2215109,Flutter Development,Gradclubs Education Private Limited,"₹ 10,000-20,000 /month",unknown,internshala,2023-07-09,
2220923,Database Building/Management,Mowen Technologies,"₹ 10,000 /month",unknown,internshala,2023-07-09,
2222169,Django Full Stack Development,IdeaToContent,"₹ 7,000-15,000 /month",2 days ago,internshala,2023-07-09,
2220875,Python Development,Repairs Duniya (Kagav Technologies LLP),"₹ 3,000-15,000 /month",2 days ago,internshala,2023-07-09,
2227731,Operations & Data Analysis,Arcatron Mobility Private Limited,"₹ 10,000 /month",Today,internshala,2023-07-09,
2215155,Full Stack Development (Ruby On Rails/Python),Odo,"₹ 8,000-12,000 /month",unknown,internshala,2023-07-09,
2217130,Java Development,Tama Systems India Private Limited,"₹ 8,000-12,000 /month",unknown,internshala,2023-07-09,
2221190,C++ Algo Trading Development,Crowd Wisdom Trading,"₹ 5,000 /month",unknown,internshala,2023-07-09,
2223752,Java Development,Storiesofcommonman,"₹ 10,000 /month",unknown,internshala,2023-07-09,
2228285,Flutter Development,Dropdown,"₹ 18,000 /month",Few hours ago,internshala,2023-07-09,
